text,label,length,word_count,exclamation_count,question_count,currency_symbols,numbers_count
"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's",spam,160,30,0,1,0,16
"Hey how are you doing today?",ham,27,6,0,1,0,0
"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.",spam,147,25,2,0,3,8
"Meeting at 3pm in conference room",ham,32,6,0,0,0,1
"Urgent! You have won a 1 week FREE membership in our £100000 prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18+",spam,148,27,1,0,2,13
"Can you pick up some milk on your way home?",ham,39,9,0,1,0,0
"PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 unredeemed S.I.M. points. Call 08719899217 Identifier Code: 49557 Expires 31/10/04",spam,139,22,0,0,0,18
"Thanks for the birthday wishes!",ham,31,5,1,0,0,0
"congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16+",spam,149,22,0,0,2,12
"What time does the movie start?",ham,30,6,0,1,0,0
"FreeMsg: Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! ubscribe6GBP/ mnth inc 3hrs 16 stop?txtStop",spam,144,26,1,1,0,13
"Just finished work. See you at home.",ham,35,7,0,0,0,0
"URGENT! Your mobile No 07946746291 was awarded a L2,000 Bonus Caller Prize on 02/09/03! This is our final attempt to contact you! Call 0871-872-9758 BOX95QU",spam,157,27,2,1,1,16
"Running late for the meeting",ham,27,5,0,0,0,0
"SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV",spam,124,22,0,1,0,2
"Hope you have a great day!",ham,25,6,1,0,0,0
"Win a £1000 cash prize or a prize worth £5000",spam,45,10,0,0,2,4
"Dinner is ready. Come home now.",ham,30,6,0,0,0,0
"CALL FREE! This is your final notice to claim your £750 Prize Draw! Valid today only. Call FREE on 08000938767",spam,115,20,1,1,1,8
"Let's meet at the coffee shop",ham,29,6,0,0,0,0
"Your mobile number 07808726822 has been awarded with a £2000 prize GUARANTEED. Call 09061744077 from land line. Claim M89. Valid 12hrs only 150ppmx3age16+",spam,161,26,0,0,2,15
"Can't wait to see you tonight!",ham,29,6,1,0,0,0
"FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W14TT 150p/tone 16+",spam,147,28,1,0,0,9
"The weather is beautiful today",ham,30,5,0,0,0,0
"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply INFO. If you dont want these msgs reply STOP",spam,135,25,0,0,2,3
"Good morning! Have a wonderful day",ham,34,6,1,0,0,0
"You have won £1000 cash! Call 08712460324 now!",spam,45,9,1,1,1,10
"Happy birthday! Hope you have a great celebration",ham,48,9,1,0,0,0
"WINNER!! You have won the £1000 cash or £2000 prize! To claim, call 09050000555 now! Full T&Cs apply",spam,103,19,2,1,3,8
"Thanks for helping me yesterday",ham,30,5,0,0,0,0
"Text STOP to 85069 to stop receiving these messages",ham,50,9,0,0,0,5
"Are you coming to the party tomorrow?",ham,35,7,0,1,0,0
"FINAL NOTICE: You have won £750 cash! Call 08712460324 before midnight to claim your prize!",spam,92,17,1,1,1,10
"The concert was amazing last night",ham,33,6,0,0,0,0
"Click www.w4tc.co.uk to claim your £100 weekly prize draw entry!",spam,65,11,1,0,1,3
"I'll be there in 10 minutes",ham,26,6,0,0,0,2
"URGENT! We've been trying to contact you. You have won £2000. Call 08712460324 NOW!",spam,84,16,1,1,1,10
"See you at the restaurant at 7pm",ham,31,7,0,0,0,1
"Your mobile number has been selected for our £1000 prize draw! Call 09061744077 to claim",spam,89,16,1,1,1,10
"Don't forget to bring your ID",ham,28,6,0,0,0,0
"FINAL CALL! You have won £1000 cash prize! Call 08712460324 immediately!",spam,72,13,1,1,1,10
"The meeting has been moved to 2pm",ham,31,7,0,0,0,1
"Text WIN to 85069 for your chance to win £1000 cash!",spam,51,11,1,0,1,5
"I'm stuck in traffic. Will be late.",ham,33,7,0,0,0,0
"CONGRATULATIONS! You have won £500 cash! Call 08712460324 to claim your prize now!",spam,83,15,1,1,1,10
"What should we have for dinner?",ham,30,6,0,1,0,0
"Your phone number has been selected! Win £1000 cash! Call 08712460324 now!",spam,75,14,1,1,1,10
"The train is delayed by 15 minutes",ham,31,7,0,0,0,2
"WINNER! You have won £2000 cash prize! Call 08712460324 before 6pm to claim!",spam,77,15,1,1,1,10
"Thanks for the lovely dinner",ham,27,5,0,0,0,0
"Your mobile has been selected for our £1000 prize! Call 09061744077 from landline!",spam,83,15,1,0,1,10
"The game starts at 3pm today",ham,27,6,0,0,0,1
"FREE! Win £1000 cash! Call 08712460324 now! Valid today only!",spam,61,12,1,1,1,10
"I love you so much",ham,17,4,0,0,0,0 
